2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,0,0,0,0,0,0,0,0,0,360,115,0,343,418
0,0,0,0,531,0,360,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,23,769,0,0
0,0,0,0,0,0,0,0,675,0,0,0,0,0,6
0,0,540,0,0,0,0,0,0,0,0,0,0,87,0
0,0,0,0,0,0,0,0,0,0,0,36,143,216,220
585,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,19,19,123,104,160
0,0,0,0,0,0,0,0,0,387,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,383
0,0,0,360,0,0,0,0,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,51,7,13,247
0,0,0,0,0,0,0,0,0,0,0,28,11,97,165
0,0,0,0,0,0,0,0,0,0,0,0,0,0,194
0,0,0,0,0,0,0,0,0,0,0,0,21,116,47
162,14,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,117,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,90,22
0,0,0,0,0,0,0,0,0,0,15,48,0,0,0
0,55,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,21,0,34
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,48,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,45,0,0
0,0,0,0,0,0,0,0,0,0,0,9,9,14,0
0,0,0,0,0,0,0,0,0,0,0,26,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,8,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3,2,7
0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
