País,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Qtd. Total (L)
Filipinas,0,0,0,0,0,0,0,0,0,0,9608,736,719,2784,375,14222
Bahamas,0,0,3175,4529,1374,581,0,0,0,0,141,791,1212,1083,1215,14101
Nova Zelândia,0,0,0,2587,2364,1004,2800,809,504,1678,969,500,95,657,63,14030
Catar,0,0,0,0,0,0,0,0,0,13338,0,0,0,1,0,13339
Cabo Verde,0,0,11991,600,0,0,0,0,0,0,18,0,0,16,0,12625
Vietnã,0,743,8820,0,0,0,0,0,0,0,0,20,86,0,130,9799
Grécia,0,0,0,0,0,0,0,0,0,0,232,561,6859,908,920,9480
Singapura,0,0,0,0,0,0,0,0,0,0,0,0,0,4504,4322,8826
Quênia,0,0,0,0,94,6,0,0,0,0,6771,0,0,0,1440,8311
Nova Caledônia,0,0,0,0,0,0,0,0,0,0,0,0,0,7227,0,7227
Chipre,0,0,0,0,0,0,0,0,0,0,279,672,2478,1855,1521,6805
Guiana,0,0,783,0,0,0,0,0,0,0,0,424,990,2372,2064,6633
México,0,0,0,1350,0,0,1521,0,0,664,2748,4,24,9,6,6326
Granada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5610,5610
"Coreia, Republica Sul",3520,0,0,0,0,0,0,0,8,0,120,70,103,67,77,3965
Equador,0,0,0,0,0,0,0,0,0,0,0,2,3780,0,135,3917
Brasil,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2504,2535
Tailândia,0,0,0,0,0,0,0,0,0,0,8,128,534,1334,432,2436
São Tomé e Príncipe,0,0,0,0,0,0,0,0,0,0,2184,0,0,0,0,2184
Antígua e Barbuda,0,0,0,0,0,0,0,0,0,0,37,219,624,805,419,2104
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,460,1485,1945
Barein,0,0,0,0,0,0,0,0,0,0,0,482,8,302,979,1771
Camarões,0,0,0,0,0,0,0,0,0,1749,0,0,0,0,0,1749
Aruba,0,0,0,900,0,0,450,0,0,0,0,0,0,0,0,1350
Turquia,0,0,0,0,0,0,0,0,0,0,360,115,0,343,418,1236
Trinidade Tobago,0,0,0,0,531,0,360,0,0,0,0,0,0,0,0,891
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,23,769,0,0,792
Áustria,0,0,0,0,0,0,0,0,675,0,0,0,0,0,6,681
Hungria,0,0,540,0,0,0,0,0,0,0,0,0,0,87,0,627
Barbados,0,0,0,0,0,0,0,0,0,0,0,36,143,216,220,615
"Eslovaca, Republica",585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585
"Cayman, Ilhas",0,0,0,0,0,0,0,0,0,0,19,19,123,104,160,425
Letônia,0,0,0,0,0,0,0,0,0,387,0,0,0,0,0,387
Moçambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,383
Congo,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,360
Namibia,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340
India,0,0,0,0,0,0,0,0,0,0,0,51,7,13,247,318
Ilha de Man,0,0,0,0,0,0,0,0,0,0,0,28,11,97,165,301
Omã,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,194
Irã,0,0,0,0,0,0,0,0,0,0,0,0,21,116,47,184
Honduras,162,14,0,0,0,0,0,0,0,0,0,0,0,0,0,176
Bulgária,0,0,0,0,0,0,0,0,0,117,0,0,0,0,5,122
Guiana Francesa,0,0,0,0,0,0,0,0,0,0,0,0,0,90,22,112
Malásia,0,0,0,0,0,0,0,0,0,0,15,48,0,0,0,63
El Salvador,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,55
Croácia,0,0,0,0,0,0,0,0,0,0,0,0,21,0,34,55
Costa Rica,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
Guine Bissau,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,48
Bósnia-Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,45
Montenegro,0,0,0,0,0,0,0,0,0,0,0,9,9,14,0,32
África do Sul,0,0,0,0,0,0,0,0,0,0,0,26,4,0,0,30
São Vicente e Granadinas,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,28
"Cocos (Keeling), Ilhas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26
Nicaragua,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,18
Jordânia,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,3,2,7,12
Afeganistão,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11
Suazilândia,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10
Mauritânia,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9
Comores,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9
Belice,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9
Indonésia,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5
Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
