País,2008.1,2009.1,2010.1,2011.1,2012.1,2013.1,2014.1,2015.1,2016.1,2017.1,2018.1,2019.1,2020.1,2021.1,2022.1,Valor Total (US$)
Montenegro,0,0,0,0,0,0,0,0,0,0,0,46,20,65,0,131
África do Sul,0,0,0,0,0,0,0,0,0,0,0,95,21,0,0,116
El Salvador,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
São Vicente e Granadinas,0,0,0,0,0,0,0,0,0,0,0,0,0,48,51,99
Guine Bissau,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,90
Mauritânia,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,85
"Cocos (Keeling), Ilhas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60
Jordânia,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,52
Bósnia-Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,52
Guiana Francesa,0,0,0,0,0,0,0,0,0,0,0,0,0,32,18,50
Afeganistão,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,46
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,31
Belice,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,29
Comores,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25
Suazilândia,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24
Nicaragua,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Indonésia,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6
Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
